project_key,kartnr,project_description,region,bidding_zones,decision_phase,motivation,planned_year_min,planned_year_max,planned_year_raw,in_or_out_of_service,country,source_doc_key,source_page,extraction_run_id,confidence_tier
svk_vnl_29750,29750,Nysäter stationsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29176,29176,Hjälta delförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2034,2034,2034,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29880,29880,Långbjörn–avgrening till Degerforsen ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2036,2036,2036,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_30897,30897,Grundfors–Storfinnforsen ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2037,2037,2037,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29921,29921,Kilforsen–Hjälta ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2038,2038,2038,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29925,29925,Ramsele–Storfinnforsen ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2038,2038,2038,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29233,29233,Nämforsen stationsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2039,2039,2039,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29758,29758,Turinge stationsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2039,2039,2039,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_30904,30904,Grundfors–Ramsele ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2039,2039,2039,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29748,29748,Moliden stationsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2040,2040,2040,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29978,29978,Storfinnforsen–Bäsna–Hallsberg nya dubbla 400 kV-ledningar,Region Västernorrland,SE2,under_consideration,reinvestment,2041,2041,2041,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29443,29443,Helgum–Hjälta ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2042,2042,2042,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29868,29868,Långbjörn–Linnvasselv inklusive avgrening till Junsterforsen ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2042,2042,2042,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29900,29900,Stornorrfors–Hjälta ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2043,2043,2043,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29690,29690,Hjälta/Nässe utbyggnad 400 kV-station och anslutning till Odensala 400 kV-station,Region Västernorrland,SE2,under_consideration,system_reinforcement,2031,2031,2031,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29910,29910,Ramsele–Kilforsen kapacitetsuppgradering 400 kV,Region Västernorrland,SE2,under_consideration,system_reinforcement,2031,2031,2031,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_28900,28900,Stadsforsen–Torpshammar ledningsrivning,Region Västernorrland,SE2,under_consideration,reinvestment,2032,2032,2032,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_28905,28905,Stadsforsen–Hällsjö ledningsrivning,Region Västernorrland,SE2,under_consideration,reinvestment,2032,2032,2032,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29903,29903,Nässe–Vattjom nya dubbla 400 kV-ledningar,Region Västernorrland,SE2,under_consideration,reinvestment,2032,2032,2032,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29917,29917,Vattjom ny 400 kV-station,Region Västernorrland,SE2,under_consideration,system_reinforcement,2032,2032,2032,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29923,29923,Nässe anslutning mot Jälla,Region Västernorrland,SE2,under_consideration,system_reinforcement,2032,2032,2032,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_28937,28937,Kilforsen–Utanede nya dubbla 400 kV-ledningar,Region Västernorrland,SE2,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29028,29028,Hällsjö och Vattjom anslutning av 220 kV-ledning,Region Västernorrland,SE2,under_consideration,system_reinforcement,2033,2033,2033,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29848,29848,Stadsforsen–Hölleforsen–Järkvissle ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29920,29920,Vattjom–Njutånger två nya 400 kV-ledningar,Region Västernorrland,SE2,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29495,29495,Bräcke–Ånge ny 220 kV-ledning,Region Västernorrland,SE2,under_consideration,reinvestment,2034,2034,2034,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29951,29951,Utanede–Fallviken nya dubbla 400 kV-ledningar,Region Västernorrland,SE2,under_consideration,reinvestment,2034,2034,2034,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_28969,28969,Midskog–Malsjö nya dubbla 400 kV-ledningar,Region Västernorrland,SE2,under_consideration,reinvestment,2035,2035,2035,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29027,29027,Järkvissle–Hällsjö ledningsrivning,Region Västernorrland,SE2,under_consideration,reinvestment,2035,2035,2035,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29854,29854,Forsmo–Lasele–Långbjörn ledningsförnyelse,Region Västernorrland,SE2,under_consideration,reinvestment,2036,2036,2036,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29904,29904,Forsse–Stadsforsen ledningsrivning,Region Västernorrland,SE2,preparation,reinvestment,2027,2027,2027,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29582,29582,Helgum stationsåtgärder,Region Västernorrland,SE2,preparation,connection,2028,2028,2028,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29729,29729,Forsmo stationsförnyelse,Region Västernorrland,SE2,preparation,reinvestment,2028,2028,2028,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29747,29747,Moforsen stationsförnyelse,Region Västernorrland,SE2,preparation,reinvestment,2028,2028,2028,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29901,29901,Hjälta–Nysäter ledningsrivning,Region Västernorrland,SE2,preparation,reinvestment,2028,2028,2028,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29907,29907,Hällsjö–Söderala ledningsrivning,Region Västernorrland,SE2,preparation,reinvestment,2028,2028,2028,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29909,29909,Betåsen–Nässe ny 400 kV-ledning,Region Västernorrland,SE2,preparation,reinvestment,2028,2028,2028,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29744,29744,Lasele stationsförnyelse,Region Västernorrland,SE2,preparation,reinvestment,2030,2030,2030,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_27902,27902,Nysäter–Njutånger ledningsrivning,Region Västernorrland,SE2,preparation,reinvestment,2031,2031,2031,out_of_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29018,29018,Bandsjö ny 400 kV-station,Region Västernorrland,SE2,preparation,connection,2031,2031,2031,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29603,29603,Moliden delförnyelse,Region Västernorrland,SE2,construction,reinvestment,2026,2026,2026,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29760,29760,Vaple stationsförnyelse,Region Västernorrland,SE2,construction,reinvestment,2026,2026,2026,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29071,29071,Kilforsen stationsförnyelse,Region Västernorrland,SE2,construction,reinvestment,2028,2028,2028,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_vnl_29911,29911,Nässe ny 400 kV-station,Region Västernorrland,SE2,construction,connection,2028,2028,2028,in_service,SE,svk_nup_2026_2035,76,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_10967,10967,Linnvasselv stationsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2030,2030,2030,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28845,28845,Krångede stationsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28847,28847,Sällsjö stationsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28352,28352,Järpströmmen stationsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2035,2035,2035,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_30897,30897,Grundfors–Storfinnforsen ledningsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2037,2037,2037,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_30904,30904,Grundfors–Ramsele ledningsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2039,2039,2039,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_29978,29978,Storfinnforsen–Bäsna–Hallsberg nya dubbla 400 kV-ledningar,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2041,2041,2041,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_29868,29868,Långbjörn–Linnvasselv inklusive avgrening till Junsterforsen ledningsförnyelse,Region Jämtland Härjedalen,SE2,under_consideration,reinvestment,2042,2042,2042,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_29904,29904,Forsse–Stadsforsen ledningsrivning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2027,2027,2027,out_of_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28521,28521,Korsselbränna stationsförnyelse och utbyggnad,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2028,2028,2028,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28816,28816,Åsbacken ny 400 kV-station,Region Jämtland Härjedalen,SE2,preparation,connection,2029,2029,2029,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28980,28980,Rätan kraftstation stationsförnyelse,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2029,2029,2029,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28827,28827,Krångede–Gammelänge ledningsförnyelse,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2030,2030,2030,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28830,28830,Stadsforsen–Hammarstrand–Krångede ledningsförnyelse,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2030,2030,2030,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28913,28913,Stadsforsen stationsförnyelse,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2031,2031,2031,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_27960,27960,Ånge–Ljusdal ledningsrivning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2032,2032,2032,out_of_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28900,28900,Stadsforsen–Torpshammar ledningsrivning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2032,2032,2032,out_of_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28905,28905,Stadsforsen–Hällsjö ledningsrivning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2032,2032,2032,out_of_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28918,28918,Utanede ny 400 kV-station,Region Jämtland Härjedalen,SE2,preparation,system_reinforcement,2032,2032,2032,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_29903,29903,Nässe–Vattjom nya dubbla 400 kV-ledningar,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2032,2032,2032,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28937,28937,Kilforsen–Utanede nya dubbla 400 kV-ledningar,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28938,28938,Krångede–Bräcke ledningsrivning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2034,2034,2034,out_of_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_29495,29495,Bräcke–Ånge ny 220 kV-ledning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2034,2034,2034,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28777,28777,Ismunden–Järpströmmen ny 400 kV-ledning,Region Jämtland Härjedalen,SE2,preparation,system_reinforcement,2035,2035,2035,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28969,28969,Midskog–Malsjö nya dubbla 400 kV-ledningar,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2035,2035,2035,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28982,28982,Ismunden ny 400 kV-station,Region Jämtland Härjedalen,SE2,preparation,system_reinforcement,2035,2035,2035,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28985,28985,Midskog–Kättbo ledningsrivning,Region Jämtland Härjedalen,SE2,preparation,reinvestment,2038,2038,2038,out_of_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_24714,24714,Olingan och Gräsmark SC-stationer,Region Jämtland Härjedalen,SE2,construction,system_reinforcement,2026,2026,2026,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28939,28939,Hammarstrand ny 220 kV-station,Region Jämtland Härjedalen,SE2,construction,connection,2027,2027,2027,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_jmt_28965,28965,Midskog stationsutbyggnad,Region Jämtland Härjedalen,SE2,construction,connection,2028,2028,2028,in_service,SE,svk_nup_2026_2035,80,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27290,27290,Finnböle (Fenno-Skan 2) delförnyelse,Region Gävleborg,SE2;SE3,under_consideration,reinvestment,2033,2033,2033,in_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27930,27930,Vittersjö EK3 rivning seriekompenseringsstation,Region Gävleborg,SE2;SE3,under_consideration,reinvestment,2034,2034,2034,out_of_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_29978,29978,Storfinnforsen–Bäsna–Hallsberg nya dubbla 400 kV-ledningar,Region Gävleborg,SE2;SE3,under_consideration,reinvestment,2041,2041,2041,in_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27929,27929,Söderala stationsrivning,Region Gävleborg,SE2;SE3,under_consideration,reinvestment,2035,2035,2035,out_of_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_28969,28969,Midskog–Malsjö nya dubbla 400 kV-ledningar,Region Gävleborg,SE2;SE3,under_consideration,reinvestment,2035,2035,2035,in_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27857,27857,Enån ny 400 kV-station,Region Gävleborg,SE2;SE3,preparation,system_reinforcement,2028,2028,2028,in_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27863,27863,Ånge–Laforsen ledningsrivning,Region Gävleborg,SE2;SE3,preparation,reinvestment,2028,2028,2028,out_of_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27959,27959,Laforsen–Horndal ledningsrivning,Region Gävleborg,SE2;SE3,preparation,reinvestment,2028,2028,2028,out_of_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_29907,29907,Hällsjö–Söderala ledningsrivning,Region Gävleborg,SE2;SE3,preparation,reinvestment,2028,2028,2028,out_of_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_27873,27873,Grönviken–Fallviken ny 400 kV-ledning,Region Gävleborg,SE2;SE3,preparation,system_reinforcement,2029,2029,2029,in_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
svk_gvl_24858,24858,Fallviken–Horndal nya dubbla 400 kV-ledningar,Region Gävleborg,SE2;SE3,preparation,system_reinforcement,2030,2030,2030,in_service,SE,svk_nup_2026_2035,82,2026-05-03-svk-nup-10ar-v1,observed
